record_type,asset_path_or_assertion,kind,width,height,mode,binary_alpha,sha256,status
ASSET,assets/equipment_visuals/icons/final/Wood/wood_battle_helmet_final_20x20.png,Wood,20,20,RGBA,TRUE,dc077659254c3c9afdb6216ca0332240e778accc047ebf6aadbc6511405f4cbc,PASS
ASSET,assets/equipment_visuals/icons/final/Wood/wood_dragon_head_helmet_final_20x20.png,Wood,20,20,RGBA,TRUE,1f7a1a98d30ecc342be76dab86aae1f6b1bb909b6f023ab347d920bd5237b2db,PASS
ASSET,assets/equipment_visuals/icons/final/Wood/wood_iron_helmet_final_20x20.png,Wood,20,20,RGBA,TRUE,9e7ce41a49ea37f8d1141b66a93ce5ce5230cff1772433f6b4393e4d888ab30b,PASS
ASSET,assets/equipment_visuals/icons/final/Wood/wood_knight_helmet_final_20x20.png,Wood,20,20,RGBA,TRUE,d16e40ed757e9b96592604840e36a688e6970e900d52a3d8bfd2d855e56fd26c,PASS
ASSET,assets/equipment_visuals/icons/final/Wood/wood_leather_cap_final_20x20.png,Wood,20,20,RGBA,TRUE,2d379dbece30a43bcdfc49394d879643eca8cc197a1260c9e33400eca4d077ab,PASS
ASSET,assets/equipment_visuals/layers/base/Boots/dragon_walk_boots_base_40x208.png,Boots,40,208,RGBA,TRUE,36c0a4348a971904fe8e3449877dfb6afe5f17b0d622ed23f5f66969a323a8d1,PASS
ASSET,assets/equipment_visuals/layers/base/Boots/iron_toe_boots_base_40x208.png,Boots,40,208,RGBA,TRUE,579dd3af5d319d265856d11bad8aa18f1f2372682e7cbb3c9921916bf86fdc67,PASS
ASSET,assets/equipment_visuals/layers/base/Boots/leather_boots_base_40x208.png,Boots,40,208,RGBA,TRUE,2be627385244bf22201337340d3968630e32cb092110983d0f2f97fac2630464,PASS
ASSET,assets/equipment_visuals/layers/base/Boots/straw_sandals_base_40x208.png,Boots,40,208,RGBA,TRUE,868c4d9c22fbdbc63e9dfb3671cdd18aff1d995a300f8f7f4d756f108ea8997b,PASS
ASSET,assets/equipment_visuals/layers/base/Boots/wind_boots_base_40x208.png,Boots,40,208,RGBA,TRUE,bde286deac0bfbffa26c7abb407544d0c03a30324b4ce053ebee3d6cc7d24a4c,PASS
ASSET,assets/equipment_visuals/layers/base/Helmets/battle_helmet_base_40x208.png,Helmets,40,208,RGBA,TRUE,884905056f9aefb47738c4fd19919c8057dff460fca2ad053f4a8c6a4ecbc714,PASS
ASSET,assets/equipment_visuals/layers/base/Helmets/dragon_head_helmet_base_40x208.png,Helmets,40,208,RGBA,TRUE,d8864570d8b146670ac820a1a86f970a1138664414d410ca035302b66541f528,PASS
ASSET,assets/equipment_visuals/layers/base/Helmets/iron_helmet_base_40x208.png,Helmets,40,208,RGBA,TRUE,03fa2d3f0dad4d8f3a5ac50b545e5bcdd1c054cb07fea518cf106f7fe287a8c9,PASS
ASSET,assets/equipment_visuals/layers/base/Helmets/knight_helmet_base_40x208.png,Helmets,40,208,RGBA,TRUE,292efed9cb2f348a207fe8c6d913ef691d743b5e8c9f8d6d8e9fba7a656e9e33,PASS
ASSET,assets/equipment_visuals/layers/base/Helmets/leather_cap_base_40x208.png,Helmets,40,208,RGBA,TRUE,8d34e54b09e03a8321104a517f82c12305580982ebcd4d54b3c04cd1ca459606,PASS
ASSET,assets/equipment_visuals/layers/base/Weapons/short_sword_base_40x208.png,Weapons,40,208,RGBA,TRUE,7b30b9fb3b657a3689e4b2f3b8333e1762ce3204644d31731a5d277bcae63e47,PASS
ASSET,assets/equipment_visuals/masks/helmets/battle_helmet_allowed_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,f2271d41b5b3982db7f1f686d481168dbb9926a5df43812df2f60a86847d3cbc,PASS
ASSET,assets/equipment_visuals/masks/helmets/battle_helmet_forbidden_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,0070e26a616087a1b4230cc1167ec3c0977306c2034655fc27916cd9874dff41,PASS
ASSET,assets/equipment_visuals/masks/helmets/battle_helmet_helmet_coverage_mask_40x208.png,helmets,40,208,RGBA,TRUE,3d18584f8b6907370fe9860c8d75603c29bcda00bf4d57c039c6b4c57ca7ea2a,PASS
ASSET,assets/equipment_visuals/masks/helmets/battle_helmet_visible_hair_40x208.png,helmets,40,208,RGBA,TRUE,ccd7f2545d5b649a665898c9b743c3ca35393b8fcd02cb268598fc49df3b54b0,PASS
ASSET,assets/equipment_visuals/masks/helmets/dragon_head_helmet_allowed_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,fb5f5fc1a413a5dfef2d750869176a5b16832aa8bc4725cd68d562d929635cdb,PASS
ASSET,assets/equipment_visuals/masks/helmets/dragon_head_helmet_forbidden_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,146a52471ac7a517ec20288ec635c173a93a0b86f9432b9beb18f5e1b939da7d,PASS
ASSET,assets/equipment_visuals/masks/helmets/dragon_head_helmet_helmet_coverage_mask_40x208.png,helmets,40,208,RGBA,TRUE,c4dae264853a24d5bc09719d086170d6560830136cc96367eadfdd84678afc4f,PASS
ASSET,assets/equipment_visuals/masks/helmets/dragon_head_helmet_visible_hair_40x208.png,helmets,40,208,RGBA,TRUE,68160d77bd564a2ee054cc8fa4ee03c66e80e20eb747d08f695317983b29f3b3,PASS
ASSET,assets/equipment_visuals/masks/helmets/iron_helmet_allowed_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,f2271d41b5b3982db7f1f686d481168dbb9926a5df43812df2f60a86847d3cbc,PASS
ASSET,assets/equipment_visuals/masks/helmets/iron_helmet_forbidden_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,0070e26a616087a1b4230cc1167ec3c0977306c2034655fc27916cd9874dff41,PASS
ASSET,assets/equipment_visuals/masks/helmets/iron_helmet_helmet_coverage_mask_40x208.png,helmets,40,208,RGBA,TRUE,9025d39d08d037ab890a79429f622636ef6cb861ccc746040baf628fcd702e17,PASS
ASSET,assets/equipment_visuals/masks/helmets/iron_helmet_visible_hair_40x208.png,helmets,40,208,RGBA,TRUE,ccd7f2545d5b649a665898c9b743c3ca35393b8fcd02cb268598fc49df3b54b0,PASS
ASSET,assets/equipment_visuals/masks/helmets/knight_helmet_allowed_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,fb5f5fc1a413a5dfef2d750869176a5b16832aa8bc4725cd68d562d929635cdb,PASS
ASSET,assets/equipment_visuals/masks/helmets/knight_helmet_forbidden_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,146a52471ac7a517ec20288ec635c173a93a0b86f9432b9beb18f5e1b939da7d,PASS
ASSET,assets/equipment_visuals/masks/helmets/knight_helmet_helmet_coverage_mask_40x208.png,helmets,40,208,RGBA,TRUE,9996a16aa071060ee007bcc3fb312b744ea93b7a9b649983a995670712be1dd6,PASS
ASSET,assets/equipment_visuals/masks/helmets/knight_helmet_visible_hair_40x208.png,helmets,40,208,RGBA,TRUE,68160d77bd564a2ee054cc8fa4ee03c66e80e20eb747d08f695317983b29f3b3,PASS
ASSET,assets/equipment_visuals/masks/helmets/leather_cap_allowed_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,f2271d41b5b3982db7f1f686d481168dbb9926a5df43812df2f60a86847d3cbc,PASS
ASSET,assets/equipment_visuals/masks/helmets/leather_cap_forbidden_hair_mask_40x208.png,helmets,40,208,RGBA,TRUE,0070e26a616087a1b4230cc1167ec3c0977306c2034655fc27916cd9874dff41,PASS
ASSET,assets/equipment_visuals/masks/helmets/leather_cap_helmet_coverage_mask_40x208.png,helmets,40,208,RGBA,TRUE,1503be458176842e2d8fa65d6cad47447dda5ee063bc79dfca8e71d1413e3aef,PASS
ASSET,assets/equipment_visuals/masks/helmets/leather_cap_visible_hair_40x208.png,helmets,40,208,RGBA,TRUE,ccd7f2545d5b649a665898c9b743c3ca35393b8fcd02cb268598fc49df3b54b0,PASS
ASSET,audit/design_references/helmet_pixel_redesign_contact_sheet.png,design_references,440,176,RGBA,TRUE,3146ef1311a7f965d9989e8060c30555e8852879fd83671b6781e8033af54cb3,PASS
ASSERTION,RGBA_BINARY_ALPHA_OK:62,,,,,,,PASS
ASSERTION,HELMET_DIMENSIONS_FRAMES_UNIQUE_OK:5,,,,,,,PASS
ASSERTION,HAIR_MASKS_4_TYPES_LEAK_ZERO_OK:5,,,,,,,PASS
ASSERTION,BOOTS_TWO_COMPONENTS_NO_HORIZONTAL_BASE_OK:5x4,,,,,,,PASS
ASSERTION,SHORT_LONG_DISTINCT_AND_SHORTER_OK:4,,,,,,,PASS
ASSERTION,HELMET_FINAL_BASE_PLUS_PARTICLE_OK:25,,,,,,,PASS
