catalog_id,base_name,slot,key,grade,kind,base_slug,element,element_name,source_file,source_status
earth_猎弓,猎弓,weapon,bow,1,武器·弓,hunting_bow,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_长弓,长弓,weapon,bow,3,武器·弓,longbow,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_长弓,长弓,weapon,bow,3,武器·弓,longbow,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_长弓,长弓,weapon,bow,3,武器·弓,longbow,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_长弓,长弓,weapon,bow,3,武器·弓,longbow,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_长弓,长弓,weapon,bow,3,武器·弓,longbow,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_劲弩,劲弩,weapon,bow,5,武器·弓,heavy_crossbow,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_劲弩,劲弩,weapon,bow,5,武器·弓,heavy_crossbow,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_劲弩,劲弩,weapon,bow,5,武器·弓,heavy_crossbow,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_劲弩,劲弩,weapon,bow,5,武器·弓,heavy_crossbow,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_劲弩,劲弩,weapon,bow,5,武器·弓,heavy_crossbow,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_布甲,布甲,armor,armor,1,防具,cloth_armor,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_布甲,布甲,armor,armor,1,防具,cloth_armor,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_布甲,布甲,armor,armor,1,防具,cloth_armor,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_布甲,布甲,armor,armor,1,防具,cloth_armor,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_布甲,布甲,armor,armor,1,防具,cloth_armor,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_皮甲,皮甲,armor,armor,2,防具,leather_armor,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_皮甲,皮甲,armor,armor,2,防具,leather_armor,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_皮甲,皮甲,armor,armor,2,防具,leather_armor,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_皮甲,皮甲,armor,armor,2,防具,leather_armor,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_皮甲,皮甲,armor,armor,2,防具,leather_armor,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_锁子甲,锁子甲,armor,armor,3,防具,chainmail_armor,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_锁子甲,锁子甲,armor,armor,3,防具,chainmail_armor,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_锁子甲,锁子甲,armor,armor,3,防具,chainmail_armor,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_锁子甲,锁子甲,armor,armor,3,防具,chainmail_armor,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_锁子甲,锁子甲,armor,armor,3,防具,chainmail_armor,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_板甲,板甲,armor,armor,4,防具,plate_armor,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_板甲,板甲,armor,armor,4,防具,plate_armor,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_板甲,板甲,armor,armor,4,防具,plate_armor,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_板甲,板甲,armor,armor,4,防具,plate_armor,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_板甲,板甲,armor,armor,4,防具,plate_armor,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_龙鳞甲,龙鳞甲,armor,armor,5,防具,dragon_scale_armor,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_龙鳞甲,龙鳞甲,armor,armor,5,防具,dragon_scale_armor,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_龙鳞甲,龙鳞甲,armor,armor,5,防具,dragon_scale_armor,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_龙鳞甲,龙鳞甲,armor,armor,5,防具,dragon_scale_armor,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_龙鳞甲,龙鳞甲,armor,armor,5,防具,dragon_scale_armor,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_皮帽,皮帽,helmet,helmet,1,护具·头盔,leather_cap,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_皮帽,皮帽,helmet,helmet,1,护具·头盔,leather_cap,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_皮帽,皮帽,helmet,helmet,1,护具·头盔,leather_cap,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_皮帽,皮帽,helmet,helmet,1,护具·头盔,leather_cap,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_皮帽,皮帽,helmet,helmet,1,护具·头盔,leather_cap,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_铁盔,铁盔,helmet,helmet,2,护具·头盔,iron_helmet,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_铁盔,铁盔,helmet,helmet,2,护具·头盔,iron_helmet,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_铁盔,铁盔,helmet,helmet,2,护具·头盔,iron_helmet,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_铁盔,铁盔,helmet,helmet,2,护具·头盔,iron_helmet,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_铁盔,铁盔,helmet,helmet,2,护具·头盔,iron_helmet,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_战盔,战盔,helmet,helmet,3,护具·头盔,battle_helmet,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_战盔,战盔,helmet,helmet,3,护具·头盔,battle_helmet,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_战盔,战盔,helmet,helmet,3,护具·头盔,battle_helmet,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_战盔,战盔,helmet,helmet,3,护具·头盔,battle_helmet,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_战盔,战盔,helmet,helmet,3,护具·头盔,battle_helmet,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_骑士盔,骑士盔,helmet,helmet,4,护具·头盔,knight_helmet,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_骑士盔,骑士盔,helmet,helmet,4,护具·头盔,knight_helmet,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_骑士盔,骑士盔,helmet,helmet,4,护具·头盔,knight_helmet,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_骑士盔,骑士盔,helmet,helmet,4,护具·头盔,knight_helmet,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_骑士盔,骑士盔,helmet,helmet,4,护具·头盔,knight_helmet,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_龙首盔,龙首盔,helmet,helmet,5,护具·头盔,dragon_head_helmet,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_龙首盔,龙首盔,helmet,helmet,5,护具·头盔,dragon_head_helmet,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_龙首盔,龙首盔,helmet,helmet,5,护具·头盔,dragon_head_helmet,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_龙首盔,龙首盔,helmet,helmet,5,护具·头盔,dragon_head_helmet,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_龙首盔,龙首盔,helmet,helmet,5,护具·头盔,dragon_head_helmet,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_布裤,布裤,pants,pants,1,护具·裤子,cloth_pants,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_布裤,布裤,pants,pants,1,护具·裤子,cloth_pants,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_布裤,布裤,pants,pants,1,护具·裤子,cloth_pants,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_布裤,布裤,pants,pants,1,护具·裤子,cloth_pants,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_布裤,布裤,pants,pants,1,护具·裤子,cloth_pants,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_皮裤,皮裤,pants,pants,2,护具·裤子,leather_pants,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_皮裤,皮裤,pants,pants,2,护具·裤子,leather_pants,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_皮裤,皮裤,pants,pants,2,护具·裤子,leather_pants,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_皮裤,皮裤,pants,pants,2,护具·裤子,leather_pants,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_皮裤,皮裤,pants,pants,2,护具·裤子,leather_pants,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_链甲裤,链甲裤,pants,pants,3,护具·裤子,chainmail_pants,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_链甲裤,链甲裤,pants,pants,3,护具·裤子,chainmail_pants,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_链甲裤,链甲裤,pants,pants,3,护具·裤子,chainmail_pants,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_链甲裤,链甲裤,pants,pants,3,护具·裤子,chainmail_pants,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_链甲裤,链甲裤,pants,pants,3,护具·裤子,chainmail_pants,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_板甲腿铠,板甲腿铠,pants,pants,4,护具·裤子,plate_greaves,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_板甲腿铠,板甲腿铠,pants,pants,4,护具·裤子,plate_greaves,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_板甲腿铠,板甲腿铠,pants,pants,4,护具·裤子,plate_greaves,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_板甲腿铠,板甲腿铠,pants,pants,4,护具·裤子,plate_greaves,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_板甲腿铠,板甲腿铠,pants,pants,4,护具·裤子,plate_greaves,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_龙鳞腿甲,龙鳞腿甲,pants,pants,5,护具·裤子,dragon_scale_legs,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_龙鳞腿甲,龙鳞腿甲,pants,pants,5,护具·裤子,dragon_scale_legs,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_龙鳞腿甲,龙鳞腿甲,pants,pants,5,护具·裤子,dragon_scale_legs,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_龙鳞腿甲,龙鳞腿甲,pants,pants,5,护具·裤子,dragon_scale_legs,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_龙鳞腿甲,龙鳞腿甲,pants,pants,5,护具·裤子,dragon_scale_legs,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_草编鞋,草编鞋,boots,boots,1,护具·鞋,straw_sandals,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_草编鞋,草编鞋,boots,boots,1,护具·鞋,straw_sandals,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_草编鞋,草编鞋,boots,boots,1,护具·鞋,straw_sandals,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_草编鞋,草编鞋,boots,boots,1,护具·鞋,straw_sandals,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_草编鞋,草编鞋,boots,boots,1,护具·鞋,straw_sandals,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_皮靴,皮靴,boots,boots,2,护具·鞋,leather_boots,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_皮靴,皮靴,boots,boots,2,护具·鞋,leather_boots,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_皮靴,皮靴,boots,boots,2,护具·鞋,leather_boots,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_皮靴,皮靴,boots,boots,2,护具·鞋,leather_boots,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_皮靴,皮靴,boots,boots,2,护具·鞋,leather_boots,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_铁头靴,铁头靴,boots,boots,3,护具·鞋,iron_toe_boots,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_铁头靴,铁头靴,boots,boots,3,护具·鞋,iron_toe_boots,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_铁头靴,铁头靴,boots,boots,3,护具·鞋,iron_toe_boots,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_铁头靴,铁头靴,boots,boots,3,护具·鞋,iron_toe_boots,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_铁头靴,铁头靴,boots,boots,3,护具·鞋,iron_toe_boots,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_疾风靴,疾风靴,boots,boots,4,护具·鞋,wind_boots,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_疾风靴,疾风靴,boots,boots,4,护具·鞋,wind_boots,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_疾风靴,疾风靴,boots,boots,4,护具·鞋,wind_boots,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_疾风靴,疾风靴,boots,boots,4,护具·鞋,wind_boots,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_疾风靴,疾风靴,boots,boots,4,护具·鞋,wind_boots,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_龙行靴,龙行靴,boots,boots,5,护具·鞋,dragon_walk_boots,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_龙行靴,龙行靴,boots,boots,5,护具·鞋,dragon_walk_boots,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_龙行靴,龙行靴,boots,boots,5,护具·鞋,dragon_walk_boots,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_龙行靴,龙行靴,boots,boots,5,护具·鞋,dragon_walk_boots,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_龙行靴,龙行靴,boots,boots,5,护具·鞋,dragon_walk_boots,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_木刻护符,木刻护符,accessory,amulet,1,饰品,carved_wood_amulet,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_木刻护符,木刻护符,accessory,amulet,1,饰品,carved_wood_amulet,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_木刻护符,木刻护符,accessory,amulet,1,饰品,carved_wood_amulet,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_木刻护符,木刻护符,accessory,amulet,1,饰品,carved_wood_amulet,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_木刻护符,木刻护符,accessory,amulet,1,饰品,carved_wood_amulet,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_铜纹戒指,铜纹戒指,accessory,amulet,2,饰品,engraved_copper_ring,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_铜纹戒指,铜纹戒指,accessory,amulet,2,饰品,engraved_copper_ring,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_铜纹戒指,铜纹戒指,accessory,amulet,2,饰品,engraved_copper_ring,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_铜纹戒指,铜纹戒指,accessory,amulet,2,饰品,engraved_copper_ring,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_铜纹戒指,铜纹戒指,accessory,amulet,2,饰品,engraved_copper_ring,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_银辉徽章,银辉徽章,accessory,amulet,3,饰品,silver_badge,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_银辉徽章,银辉徽章,accessory,amulet,3,饰品,silver_badge,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
water_银辉徽章,银辉徽章,accessory,amulet,3,饰品,silver_badge,water,寒冰,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
fire_银辉徽章,银辉徽章,accessory,amulet,3,饰品,silver_badge,fire,焰火,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
earth_银辉徽章,银辉徽章,accessory,amulet,3,饰品,silver_badge,earth,大地,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
metal_秘语契珠,秘语契珠,accessory,amulet,4,饰品,whisper_orb,metal,雷光,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
wood_秘语契珠,秘语契珠,accessory,amulet,4,饰品,whisper_orb,wood,森林,scripts/data/item_catalog.gd + scripts/game_data.gd,VERIFIED_FROM_CODE
