base_name,base_slug,slot,grade,icon_path,sheet_path,icon_sha256,sheet_sha256,design_rule,status
锁子甲,chainmail_armor,armor,3,02_Simplified_Base_Icons_35/Armor/chainmail_armor_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Armor/chainmail_armor_base_40x208.png,c57c3e3d3b975153f898c5644011b90185e83234900e16e33bf811de6cee2fd0,4d5624ee8ccb4a6fec6dc6567be7fd5495dd1953a8b67b5788db2372b7539db4,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
板甲,plate_armor,armor,4,02_Simplified_Base_Icons_35/Armor/plate_armor_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Armor/plate_armor_base_40x208.png,f392416186fd6cd3624f020c1404ac21c490c3906544607d42b4a973b977c6e2,b6c1f3481eb6a03276e1b000356651ab1ea22a46acccb4eb422456bcc7f21b61,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
龙鳞甲,dragon_scale_armor,armor,5,02_Simplified_Base_Icons_35/Armor/dragon_scale_armor_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Armor/dragon_scale_armor_base_40x208.png,2ff8c67c439312f5f6a4bc73c3cca4a420588196be5e2161e4baf45165e71c22,27dec29b26251b2609366f9f19ac02e2ec5ca2fdd98ca2506a802569f71a79b1,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
皮帽,leather_cap,helmet,1,02_Simplified_Base_Icons_35/Helmets/leather_cap_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Helmets/leather_cap_base_40x208.png,a6e8b4f7312727f10149e90fb805de76bd0e1b82f52165bf08bc3c6a6a197fea,95ff35c242b6412c9ec3db97eab3596c05d450cdbadcd23ed48e0d2bbc0dbfc1,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
铁盔,iron_helmet,helmet,2,02_Simplified_Base_Icons_35/Helmets/iron_helmet_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Helmets/iron_helmet_base_40x208.png,01a0905bed664ff37f79e2433def26d9000513b09a19df30a14917066975ca79,0b424b2882ce76ac6a6862e2bcd2877a1f842be8ee73d999dc7c12f0b7610507,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
战盔,battle_helmet,helmet,3,02_Simplified_Base_Icons_35/Helmets/battle_helmet_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Helmets/battle_helmet_base_40x208.png,b08803a5c03b6fe182a27044157e05ac95a546834579c45a233b41724c6fff48,a5e98f25f917eb14f8a8283719cfc9908790f6a3bfdbb18abf9dde2621707752,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
骑士盔,knight_helmet,helmet,4,02_Simplified_Base_Icons_35/Helmets/knight_helmet_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Helmets/knight_helmet_base_40x208.png,672abe00630fc9b6310db9846dae2d9c643e5306ff66ab76b65e2114f2587de1,a0b004672c9a04f5a7754600f3c829d15bdd7412d461afaca5043246dfa411da,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
龙首盔,dragon_head_helmet,helmet,5,02_Simplified_Base_Icons_35/Helmets/dragon_head_helmet_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Helmets/dragon_head_helmet_base_40x208.png,7ccaef3e045951024a55c37041bff923f809cf0dffc5c8bec02369dd411d9436,fd4721c7a69dbe324cd8c4b122ade0c51dd5cab9b250aa63aa9cfac0be66db74,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
布裤,cloth_pants,pants,1,02_Simplified_Base_Icons_35/Pants/cloth_pants_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Pants/cloth_pants_base_40x208.png,9a7c3407611c1c1a19cc788f3ecb85bf0d853cb0948806614b597f57cd59458b,81a58ac4b844b2ce7b9a684445ec9435c1ab06276939301702d8732708217b80,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
皮裤,leather_pants,pants,2,02_Simplified_Base_Icons_35/Pants/leather_pants_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Pants/leather_pants_base_40x208.png,e0f62117ec8b894d7bccc3d34b9de544a926909d7e726dc55088cad6a86869d8,e727965e6055d102c32efb89959b2e249c25564fc2ca0da96c00bb0be5dd7935,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
链甲裤,chainmail_pants,pants,3,02_Simplified_Base_Icons_35/Pants/chainmail_pants_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Pants/chainmail_pants_base_40x208.png,600c28f82797f72fcebba7dc0066952b4afd65fa01e0d719e09943e5b2560191,3f9b6cf25c2ffba25a80cac8d9f8a044b398cffd0915b3b8ad2dc8feb1abfc8e,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
板甲腿铠,plate_greaves,pants,4,02_Simplified_Base_Icons_35/Pants/plate_greaves_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Pants/plate_greaves_base_40x208.png,0fe975187d3500bad06f69460752f5d6000dbf7fa6a72e8d375aba4676ed4d4f,ac9ccc754aa1c657ada3b1870fc497578f62cf99954d54eaa8ea6ed59c2783c0,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
龙鳞腿甲,dragon_scale_legs,pants,5,02_Simplified_Base_Icons_35/Pants/dragon_scale_legs_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Pants/dragon_scale_legs_base_40x208.png,20a0f04e9c353fbed7615e71d72fc2944271ef8cf1574f1ddbbba1bf0a0409a9,9e8403276840503215176616adfbdb9fa7541e0403815d6451c87e00eee94d09,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
草编鞋,straw_sandals,boots,1,02_Simplified_Base_Icons_35/Boots/straw_sandals_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Boots/straw_sandals_base_40x208.png,0b56d37d83a75a4b82a3dc9959b9a409d532cadf141339272e93627f3e93f373,b81251f131d2c417b47d38c48d9cf3117bb10b8892c1bf949bad67c01cb3922f,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
皮靴,leather_boots,boots,2,02_Simplified_Base_Icons_35/Boots/leather_boots_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Boots/leather_boots_base_40x208.png,d88a42f0890408bff06620d6dc52fd9f87d49383a55c019717a74103bc00b331,76a6713de4c4883a12240181bea8737e795476172416caa848ef85c1128c5f3d,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
铁头靴,iron_toe_boots,boots,3,02_Simplified_Base_Icons_35/Boots/iron_toe_boots_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Boots/iron_toe_boots_base_40x208.png,0094177c7a081ccb84053ed09e3171a842bd4fac450841092c56d8e34b60178b,8c45683bdbc75a974ba3fe4e9cc9ab8ad2d4e8ab3cf865df999b7ad8f74dd526,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
疾风靴,wind_boots,boots,4,02_Simplified_Base_Icons_35/Boots/wind_boots_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Boots/wind_boots_base_40x208.png,bb09d2906e0a1aae03a10a938308ca982f4937826636c9bd9c58f40e2dc1f6f2,ab0b7286d732f69c20b57c9193ce7fde381612689c148564a42033b53eb98f2c,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
龙行靴,dragon_walk_boots,boots,5,02_Simplified_Base_Icons_35/Boots/dragon_walk_boots_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Boots/dragon_walk_boots_base_40x208.png,941fe67bedfc6e804cd74647d588ad6f0e1bfc6c5888cb62216c41267873e963,11559b8635cdfa516664e47b1ddf7950362f7fdcc954d83f437c35060ea18b93,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
木刻护符,carved_wood_amulet,accessory,1,02_Simplified_Base_Icons_35/Accessories/carved_wood_amulet_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Accessories/carved_wood_amulet_base_40x208.png,cea91110fb8ca2b6e6aaffbed2f2b61c7944e0cdc919a4aa41a2445272b80214,2740975690c04f92d48db025015d8e06e9f5e4f9865a581f4ccdc0a5a12e4af6,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
铜纹戒指,engraved_copper_ring,accessory,2,02_Simplified_Base_Icons_35/Accessories/engraved_copper_ring_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Accessories/engraved_copper_ring_base_40x208.png,12734e972a24e03b020169add3e1ac05ce866ff5799367d96a487928c7564d39,2d5845ceee557c13b52f9784fbcf7164006fb5ca21177c8e0b9abc7e52d9538b,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
银辉徽章,silver_badge,accessory,3,02_Simplified_Base_Icons_35/Accessories/silver_badge_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Accessories/silver_badge_base_40x208.png,885085f705338897eb9b2be549421cecc34d1ffb688486b8a64bda1c09dee000,19ca5e21f9962a3c2775e39ddc3b6f94163a650d68fa1a38a7220131a8583642,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
秘语契珠,whisper_orb,accessory,4,02_Simplified_Base_Icons_35/Accessories/whisper_orb_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Accessories/whisper_orb_base_40x208.png,6de80f80da61ab6cb042bd6cdb10afa17e490afcaed87800e22ba7619ca4bc47,67a394bfa14af63dad6ea1ff681974b1d008afe6e3ab2f21f5d6c685efdf85cc,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
圣辉遗物,sacred_relic,accessory,5,02_Simplified_Base_Icons_35/Accessories/sacred_relic_base_20x20.png,03_Simplified_Base_40x208_Layers_35/Accessories/sacred_relic_base_40x208.png,5460d2f504dc75a3d2c81ebffc1f722046ad987c4438b3841909abc81e345a0c,747393efc18f1b1d7d9f03c5a643e797065e9ea8aa8642b1496c28eede5f8716,SIMPLIFIED_NEUTRAL_BODY_NO_ELEMENT_NO_RARITY,GENERATED_PENDING_QA
