catalog_id,base_slug,slot,element,particle_path,particle_sheet_path,pixel_count,connected_component_count,base_opaque_pixel_count,particle_to_base_ratio,overlap_with_key_structure,status,notes
metal_刺剑,rapier,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_rapier_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_rapier_particles_40x208.png,4,1,50,0.080000,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_刺剑,rapier,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_rapier_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_rapier_particles_40x208.png,3,1,50,0.060000,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_刺剑,rapier,weapon,water,04_Element_Particle_Icons_175/Water/water_rapier_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_rapier_particles_40x208.png,4,1,50,0.080000,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_刺剑,rapier,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_rapier_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_rapier_particles_40x208.png,4,1,50,0.080000,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_刺剑,rapier,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_rapier_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_rapier_particles_40x208.png,4,2,50,0.080000,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_巨剑,great_sword,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_great_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_great_sword_particles_40x208.png,4,1,96,0.041667,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_巨剑,great_sword,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_great_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_great_sword_particles_40x208.png,3,1,96,0.031250,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_巨剑,great_sword,weapon,water,04_Element_Particle_Icons_175/Water/water_great_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_great_sword_particles_40x208.png,4,1,96,0.041667,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_巨剑,great_sword,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_great_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_great_sword_particles_40x208.png,4,1,96,0.041667,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_巨剑,great_sword,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_great_sword_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_great_sword_particles_40x208.png,4,2,96,0.041667,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_手斧,hand_axe,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_hand_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_hand_axe_particles_40x208.png,4,1,71,0.056338,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_手斧,hand_axe,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_hand_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_hand_axe_particles_40x208.png,3,1,71,0.042254,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_手斧,hand_axe,weapon,water,04_Element_Particle_Icons_175/Water/water_hand_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_hand_axe_particles_40x208.png,4,1,71,0.056338,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_手斧,hand_axe,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_hand_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_hand_axe_particles_40x208.png,4,1,71,0.056338,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_手斧,hand_axe,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_hand_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_hand_axe_particles_40x208.png,4,2,71,0.056338,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_战斧,battle_axe,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_battle_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_battle_axe_particles_40x208.png,4,1,90,0.044444,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_战斧,battle_axe,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_battle_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_battle_axe_particles_40x208.png,3,1,90,0.033333,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_战斧,battle_axe,weapon,water,04_Element_Particle_Icons_175/Water/water_battle_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_battle_axe_particles_40x208.png,4,1,90,0.044444,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_战斧,battle_axe,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_battle_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_battle_axe_particles_40x208.png,4,1,90,0.044444,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_战斧,battle_axe,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_battle_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_battle_axe_particles_40x208.png,4,2,90,0.044444,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_巨斧,great_axe,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_great_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_great_axe_particles_40x208.png,4,1,119,0.033613,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_巨斧,great_axe,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_great_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_great_axe_particles_40x208.png,3,1,119,0.025210,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_巨斧,great_axe,weapon,water,04_Element_Particle_Icons_175/Water/water_great_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_great_axe_particles_40x208.png,4,1,119,0.033613,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_巨斧,great_axe,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_great_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_great_axe_particles_40x208.png,4,1,119,0.033613,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_巨斧,great_axe,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_great_axe_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_great_axe_particles_40x208.png,4,2,119,0.033613,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_猎弓,hunting_bow,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_hunting_bow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_hunting_bow_particles_40x208.png,4,1,49,0.081633,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_猎弓,hunting_bow,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_hunting_bow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_hunting_bow_particles_40x208.png,3,1,49,0.061224,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_猎弓,hunting_bow,weapon,water,04_Element_Particle_Icons_175/Water/water_hunting_bow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_hunting_bow_particles_40x208.png,4,1,49,0.081633,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_猎弓,hunting_bow,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_hunting_bow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_hunting_bow_particles_40x208.png,4,1,49,0.081633,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_猎弓,hunting_bow,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_hunting_bow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_hunting_bow_particles_40x208.png,4,2,49,0.081633,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_长弓,longbow,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_longbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_longbow_particles_40x208.png,4,1,72,0.055556,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_长弓,longbow,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_longbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_longbow_particles_40x208.png,3,1,72,0.041667,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_长弓,longbow,weapon,water,04_Element_Particle_Icons_175/Water/water_longbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_longbow_particles_40x208.png,4,1,72,0.055556,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_长弓,longbow,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_longbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_longbow_particles_40x208.png,4,1,72,0.055556,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_长弓,longbow,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_longbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_longbow_particles_40x208.png,4,2,72,0.055556,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_劲弩,heavy_crossbow,weapon,metal,04_Element_Particle_Icons_175/Metal/metal_heavy_crossbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_heavy_crossbow_particles_40x208.png,4,1,90,0.044444,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_劲弩,heavy_crossbow,weapon,wood,04_Element_Particle_Icons_175/Wood/wood_heavy_crossbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_heavy_crossbow_particles_40x208.png,3,1,90,0.033333,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_劲弩,heavy_crossbow,weapon,water,04_Element_Particle_Icons_175/Water/water_heavy_crossbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_heavy_crossbow_particles_40x208.png,4,1,90,0.044444,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_劲弩,heavy_crossbow,weapon,fire,04_Element_Particle_Icons_175/Fire/fire_heavy_crossbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_heavy_crossbow_particles_40x208.png,4,1,90,0.044444,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_劲弩,heavy_crossbow,weapon,earth,04_Element_Particle_Icons_175/Earth/earth_heavy_crossbow_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_heavy_crossbow_particles_40x208.png,4,2,90,0.044444,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_布甲,cloth_armor,armor,metal,04_Element_Particle_Icons_175/Metal/metal_cloth_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_cloth_armor_particles_40x208.png,4,1,140,0.028571,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_布甲,cloth_armor,armor,wood,04_Element_Particle_Icons_175/Wood/wood_cloth_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_cloth_armor_particles_40x208.png,3,1,140,0.021429,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_布甲,cloth_armor,armor,water,04_Element_Particle_Icons_175/Water/water_cloth_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_cloth_armor_particles_40x208.png,4,1,140,0.028571,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_布甲,cloth_armor,armor,fire,04_Element_Particle_Icons_175/Fire/fire_cloth_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_cloth_armor_particles_40x208.png,4,1,140,0.028571,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_布甲,cloth_armor,armor,earth,04_Element_Particle_Icons_175/Earth/earth_cloth_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_cloth_armor_particles_40x208.png,4,2,140,0.028571,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_皮甲,leather_armor,armor,metal,04_Element_Particle_Icons_175/Metal/metal_leather_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_leather_armor_particles_40x208.png,4,1,159,0.025157,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_皮甲,leather_armor,armor,wood,04_Element_Particle_Icons_175/Wood/wood_leather_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_leather_armor_particles_40x208.png,3,1,159,0.018868,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_皮甲,leather_armor,armor,water,04_Element_Particle_Icons_175/Water/water_leather_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_leather_armor_particles_40x208.png,4,1,159,0.025157,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_皮甲,leather_armor,armor,fire,04_Element_Particle_Icons_175/Fire/fire_leather_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_leather_armor_particles_40x208.png,4,1,159,0.025157,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_皮甲,leather_armor,armor,earth,04_Element_Particle_Icons_175/Earth/earth_leather_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_leather_armor_particles_40x208.png,4,2,159,0.025157,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_锁子甲,chainmail_armor,armor,metal,04_Element_Particle_Icons_175/Metal/metal_chainmail_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_chainmail_armor_particles_40x208.png,4,1,157,0.025478,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_锁子甲,chainmail_armor,armor,wood,04_Element_Particle_Icons_175/Wood/wood_chainmail_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_chainmail_armor_particles_40x208.png,3,1,157,0.019108,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_锁子甲,chainmail_armor,armor,water,04_Element_Particle_Icons_175/Water/water_chainmail_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_chainmail_armor_particles_40x208.png,4,1,157,0.025478,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_锁子甲,chainmail_armor,armor,fire,04_Element_Particle_Icons_175/Fire/fire_chainmail_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_chainmail_armor_particles_40x208.png,4,1,157,0.025478,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_锁子甲,chainmail_armor,armor,earth,04_Element_Particle_Icons_175/Earth/earth_chainmail_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_chainmail_armor_particles_40x208.png,4,2,157,0.025478,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_板甲,plate_armor,armor,metal,04_Element_Particle_Icons_175/Metal/metal_plate_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_plate_armor_particles_40x208.png,4,1,175,0.022857,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_板甲,plate_armor,armor,wood,04_Element_Particle_Icons_175/Wood/wood_plate_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_plate_armor_particles_40x208.png,3,1,175,0.017143,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_板甲,plate_armor,armor,water,04_Element_Particle_Icons_175/Water/water_plate_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_plate_armor_particles_40x208.png,4,1,175,0.022857,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_板甲,plate_armor,armor,fire,04_Element_Particle_Icons_175/Fire/fire_plate_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_plate_armor_particles_40x208.png,4,1,175,0.022857,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_板甲,plate_armor,armor,earth,04_Element_Particle_Icons_175/Earth/earth_plate_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_plate_armor_particles_40x208.png,4,2,175,0.022857,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_龙鳞甲,dragon_scale_armor,armor,metal,04_Element_Particle_Icons_175/Metal/metal_dragon_scale_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_dragon_scale_armor_particles_40x208.png,4,1,163,0.024540,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_龙鳞甲,dragon_scale_armor,armor,wood,04_Element_Particle_Icons_175/Wood/wood_dragon_scale_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_dragon_scale_armor_particles_40x208.png,3,1,163,0.018405,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_龙鳞甲,dragon_scale_armor,armor,water,04_Element_Particle_Icons_175/Water/water_dragon_scale_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_dragon_scale_armor_particles_40x208.png,4,1,163,0.024540,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_龙鳞甲,dragon_scale_armor,armor,fire,04_Element_Particle_Icons_175/Fire/fire_dragon_scale_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_dragon_scale_armor_particles_40x208.png,4,1,163,0.024540,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_龙鳞甲,dragon_scale_armor,armor,earth,04_Element_Particle_Icons_175/Earth/earth_dragon_scale_armor_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_dragon_scale_armor_particles_40x208.png,4,2,163,0.024540,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_皮帽,leather_cap,helmet,metal,04_Element_Particle_Icons_175/Metal/metal_leather_cap_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_leather_cap_particles_40x208.png,4,1,92,0.043478,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_皮帽,leather_cap,helmet,wood,04_Element_Particle_Icons_175/Wood/wood_leather_cap_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_leather_cap_particles_40x208.png,3,1,92,0.032609,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_皮帽,leather_cap,helmet,water,04_Element_Particle_Icons_175/Water/water_leather_cap_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_leather_cap_particles_40x208.png,4,1,92,0.043478,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_皮帽,leather_cap,helmet,fire,04_Element_Particle_Icons_175/Fire/fire_leather_cap_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_leather_cap_particles_40x208.png,4,1,92,0.043478,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_皮帽,leather_cap,helmet,earth,04_Element_Particle_Icons_175/Earth/earth_leather_cap_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_leather_cap_particles_40x208.png,4,2,92,0.043478,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_铁盔,iron_helmet,helmet,metal,04_Element_Particle_Icons_175/Metal/metal_iron_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_iron_helmet_particles_40x208.png,4,1,102,0.039216,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_铁盔,iron_helmet,helmet,wood,04_Element_Particle_Icons_175/Wood/wood_iron_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_iron_helmet_particles_40x208.png,3,1,102,0.029412,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_铁盔,iron_helmet,helmet,water,04_Element_Particle_Icons_175/Water/water_iron_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_iron_helmet_particles_40x208.png,4,1,102,0.039216,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_铁盔,iron_helmet,helmet,fire,04_Element_Particle_Icons_175/Fire/fire_iron_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_iron_helmet_particles_40x208.png,4,1,102,0.039216,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_铁盔,iron_helmet,helmet,earth,04_Element_Particle_Icons_175/Earth/earth_iron_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_iron_helmet_particles_40x208.png,4,2,102,0.039216,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_战盔,battle_helmet,helmet,metal,04_Element_Particle_Icons_175/Metal/metal_battle_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_battle_helmet_particles_40x208.png,4,1,117,0.034188,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
wood_战盔,battle_helmet,helmet,wood,04_Element_Particle_Icons_175/Wood/wood_battle_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Wood/wood_battle_helmet_particles_40x208.png,3,1,117,0.025641,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
water_战盔,battle_helmet,helmet,water,04_Element_Particle_Icons_175/Water/water_battle_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Water/water_battle_helmet_particles_40x208.png,4,1,117,0.034188,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
fire_战盔,battle_helmet,helmet,fire,04_Element_Particle_Icons_175/Fire/fire_battle_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Fire/fire_battle_helmet_particles_40x208.png,4,1,117,0.034188,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
earth_战盔,battle_helmet,helmet,earth,04_Element_Particle_Icons_175/Earth/earth_battle_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Earth/earth_battle_helmet_particles_40x208.png,4,2,117,0.034188,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
metal_骑士盔,knight_helmet,helmet,metal,04_Element_Particle_Icons_175/Metal/metal_knight_helmet_particles_20x20.png,05_Element_Particle_40x208_Layers_175/Metal/metal_knight_helmet_particles_40x208.png,4,1,107,0.037383,0,GENERATED_PENDING_QA,"Independent particle-only layer; no rarity, affix, or body pixels."
